Transaction ID,Approved Transactions,Arrival Time,Exit Probability,Agent ID,Cumulative Weight Multi-Agent,Exit Probability Multi-Agent,Confirmation Confidence Multi-Agent
92,[88],96.23269429219317,0,0,"{2: 100, 0: 100, 1: 100, 3: 100}","{0: 0.005100789626430724, 1: 0.005100789626430724, 2: 0.005100789626430724, 3: 0.005100789626430724}",{}
93,"[87, 91]",96.45029946121575,0,3,"{0: 105, 1: 105, 2: 105, 3: 105}","{0: 0.7230156375895405, 1: 0.7230156375895405, 2: 0.7230156375895405, 3: 0.7230156375895405}",{}
94,"[88, 91]",97.50883677460835,0,1,"{2: 103, 0: 103, 1: 103, 3: 103}","{0: 0.27188357278402914, 1: 0.27188357278402914, 2: 0.27188357278402914, 3: 0.27188357278402914}",{}
95,[93],99.426777076538,0,0,"{0: 1, 1: 1, 2: 1, 3: 1}","{0: 8.458168920718667e-23, 1: 8.458168920718667e-23, 2: 8.458168920718667e-23, 3: 8.458168920718667e-23}",{}
96,"[92, 94]",99.88301113261984,0,2,"{0: 99, 1: 99, 2: 99, 3: 99}","{0: 0.2769843624104599, 1: 0.2769843624104599, 2: 0.2769843624104599, 3: 0.2769843624104599}",{}
97,[93],99.98916500069662,0,0,"{0: 103, 1: 103, 2: 103, 3: 103}","{0: 0.7230156375895405, 1: 0.7230156375895405, 2: 0.7230156375895405, 3: 0.7230156375895405}",{}
98,[94],101.69618230292936,0,3,"{0: 3, 1: 3, 2: 3, 3: 3}","{0: 6.388443789513652e-22, 1: 6.388443789513652e-22, 2: 6.388443789513652e-22, 3: 6.388443789513652e-22}",{}
99,[97],103.09075774382414,0,0,"{0: 101, 3: 101, 1: 101, 2: 101}","{0: 0.5911191311820818, 1: 0.5911191311820818, 2: 0.5911191311820818, 3: 0.5911191311820818}",{}
100,"[96, 97]",103.4916776184162,0,1,"{3: 98, 0: 98, 1: 98, 2: 98}","{0: 0.4088808688179185, 1: 0.4088808688179185, 2: 0.4088808688179185, 3: 0.4088808688179185}",{}
101,[99],105.14156827426342,0,3,"{3: 100, 2: 99, 0: 99, 1: 99}","{0: 0.5911191311820818, 1: 0.5911191311820818, 2: 0.5911191311820818, 3: 0.5911191311820818}",{}
102,"[100, 101]",107.02429437812008,0,3,"{3: 94, 2: 93, 0: 93, 1: 93}","{0: 0.38365173119055085, 1: 0.38365173119055085, 2: 0.3333333333333334, 3: 0.5064803910556542}",{}
103,"[101, 98]",107.28371279232918,0,2,"{2: 1, 0: 1, 1: 1, 3: 1}","{0: 4.256855860841495e-21, 1: 4.256855860841495e-21, 2: 3.740436051142305e-21, 3: 3.472186339345498e-21}",{}
104,"[100, 101]",107.3073121222785,0,3,"{3: 93, 2: 93, 0: 93, 1: 93}","{0: 0.38365173119055085, 1: 0.38365173119055085, 2: 0.3333333333333334, 3: 0.3071958857184985}",{}
105,"[101, 100]",107.85405785971909,0,2,"{2: 93, 0: 92, 1: 92, 3: 92}","{0: 0.23269653761889872, 1: 0.23269653761889872, 2: 0.3333333333333334, 3: 0.18632372322584767}",{}
106,"[98, 101]",108.40719984302365,0,0,"{2: 1, 0: 1, 1: 1, 3: 1}","{0: 4.256855860841495e-21, 1: 4.256855860841495e-21, 2: 3.740436051142305e-21, 3: 3.472186339345498e-21}",{}
107,[102],109.00631495282224,0,3,"{0: 90, 1: 90, 2: 90, 3: 90}","{0: 0.14484413117924688, 1: 0.14484413117924688, 2: 0.08964714045666505, 3: 0.19121694557229796}",{}
108,"[105, 102]",109.31993466414738,0,2,"{2: 92, 0: 91, 1: 91, 3: 91}","{0: 0.4715041376302027, 1: 0.4715041376302027, 2: 0.5770195262100017, 3: 0.501587168709204}",{}
